"","TNEV","Nev_2010","szervezet_2010","Nev_2006","szervezet_2006","jogalas","megye","kisterseg","terulet","lakonepesseg","lakasok_szama","roma_onkormanyzat","hatranyos","tipus"
"1","Aba","Kossa Lajos","Független","Kossa Lajos","POLGÁRMESTEREK FEJÉR MEGYÉÉRT","nagyközség","Fejér","Abai","8805",4674,"1555",0,"HH",1
"2","Abádszalók",NA,NA,NA,NA,"város","Jász-Nagykun-Szolnok","Tiszafüredi","13223",4034,"2100",1,"LHHK",1
"3","Abaliget","Kisfali János László","Független","Kisfali János László","Független","község","Baranya","Pécsi","1609",584,"235",1,NA,NA
"4","Abasár","Lénártné Benei Anikó","Független","Lénártné Benei Anikó","MAGYAR SZOCIALISTA PÁRT","község","Heves","Gyöngyösi","2082",2507,"1153",0,NA,NA
"5","Abaújalpár","Zinger Zsolt","Független","Zinger Zsolt","Független","község","Borsod-Abaúj-Zemplén","Encsi","848",75,"61",0,"LHHK",1
"6","Abaújkér","Palkó József","Független","Palkó József","Független","község","Borsod-Abaúj-Zemplén","Encsi","1727",697,"301",1,"LHHK",1
"7","Abaújlak",NA,NA,"Pollák István Zoltán","Független","község","Borsod-Abaúj-Zemplén","Szikszói","706",137,"86",0,"LHHK",1
"8","Abaújszántó","Madár György","Független","Madár György","Független","város","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","4736",3097,"1315",1,"LHHK",1
"9","Abaújszolnok",NA,NA,"Fehér Gyula","Független","község","Borsod-Abaúj-Zemplén","Szikszói","866",184,"70",1,"LHHK",1
"10","Abaújvár","Csuha Pál","Független","Csuha Pál","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","736",201,"159",0,"LHHK",1
"11","Abda","Szabó Zsolt","Független","Szabó Zsolt","Független","község","Győr-Moson-Sopron","Győri","1901",3167,"1113",0,NA,NA
"12","Abod","Restyánszki Gábor","Független","Restyánszki Gábor","Független","község","Borsod-Abaúj-Zemplén","Edelényi","3117",229,"127",0,"LHHK",1
"13","Abony","Romhányiné Dr. Balogh Edit","Független","Romhányiné Dr. Balogh Edit","Független","város","Pest","Ceglédi","12797",15072,"6180",1,NA,NA
"14","Ábrahámhegy","Vella Ferenc Zsolt","Független","Vella Ferenc Zsolt","Független","község","Veszprém","Tapolcai","1488",443,"235",0,"HH",2
"15","Ács","Lakatos Béla","Fidesz - Magyar Polgári Szövetség","Csöbönyei Imre","Független","város","Komárom-Esztergom","Komáromi","10384",7005,"2680",1,NA,NA
"16","Acsa","Szekeres Rezső","Független","Szekeres Rezső","Független","község","Pest","Váci","2694",1464,"477",1,NA,NA
"17","Acsád","Kovács Bernadett","Független","Horváth Kálmán","Független","község","Vas","Szombathelyi","1434",662,"186",0,NA,NA
"18","Acsalag","Szilágyi Andrásné","Fidesz - Magyar Polgári Szövetség","Jéger Mihály","Független","község","Győr-Moson-Sopron","Csornai","1041",450,"225",0,"HH",2
"19","Ácsteszér","Lunk György","Független","Lunk György","Független","község","Komárom-Esztergom","Kisbéri","1772",672,"287",0,"HH",1
"20","Adács","Ócsai László","Független","Ócsai László","Független","község","Heves","Gyöngyösi","3794",2718,"1229",0,NA,NA
"21","Ádánd","Pollák Tibor","Fidesz - Magyar Polgári Szövetség","Pollák Tibor","Független","község","Somogy","Siófoki","2952",2252,"868",0,NA,NA
"22","Adásztevel","Fodor Béla","Független","Fodor Béla","Független","község","Veszprém","Pápai","837",753,"322",0,NA,NA
"23","Adony","Ronyecz Péter István","Független","Ronyecz Péter István","Független","város","Fejér","Adonyi","6105",3851,"1476",0,NA,NA
"24","Adorjánháza","Marton Dezső","Független","Marton Dezső","Független","község","Veszprém","Devecseri","1142",358,"205",1,"HH",3
"25","Adorjás","Tóth Gyula","MAGYAR SZOCIALISTA PÁRT","Tóth Gyula","MAGYAR SZOCIALISTA PÁRT","község","Baranya","Sellyei","810",187,"65",1,"LHHK",1
"26","Ág","Stollmayer Dánielné","Független","Stollmayer Dánielné","Független","község","Baranya","Sásdi","1203",180,"66",1,"LHHK",1
"27","Ágasegyháza","Füredi János","Független","Ádám Józsefné","Független","község","Bács-Kiskun","Kecskeméti","5587",1936,"901",0,NA,NA
"28","Ágfalva","Gaál István","Független","GAÁL ISTVÁN","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","1307",2164,"650",0,NA,NA
"29","Aggtelek","Horkay István","Független","Éles Miklós","Független","község","Borsod-Abaúj-Zemplén","Edelényi","4382",521,"248",0,"LHHK",1
"30","Agyagosszergény","Szabó Alfonz","Független","Ratatics Tiborné","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","1989",876,"377",0,NA,NA
"31","Ajak","Kerekes Miklós","Fidesz - Magyar Polgári Szövetség","Kerekes Miklós","Független","nagyközség","Szabolcs-Szatmár-Bereg","Kisvárdai","2476",3584,"1298",1,"HH",1
"32","Ajka","Schwartz Béla","MAGYAR SZOCIALISTA PÁRT","Schwartz Béla","MAGYAR SZOCIALISTA PÁRT","város","Veszprém","Ajkai","9505",29131,"12610",1,NA,NA
"33","Aka",NA,NA,NA,NA,"község","Komárom-Esztergom","Kisbéri","1809",266,"133",0,"HH",1
"34","Akasztó",NA,NA,"Suhajda Antal","Független","község","Bács-Kiskun","Kiskőrösi","6488",3247,"1554",0,"HH",1
"35","Alacska","Ujlaki Béla","Független","Ujlaki Béla","Független","község","Borsod-Abaúj-Zemplén","Miskolci","856",755,"280",0,NA,NA
"36","Alap","Méhes Lajosné","Független","Méhes Lajosné","Független","község","Fejér","Sárbogárdi","4829",1953,"903",0,"HH",1
"37","Alattyán",NA,NA,NA,NA,"község","Jász-Nagykun-Szolnok","Jászberényi","3429",2162,"917",1,"HH",1
"38","Albertirsa",NA,NA,"Fazekas László","Független","város","Pest","Ceglédi","7296",12394,"4898",1,NA,NA
"39","Alcsútdoboz","Oláh Gyárfás","Független","Hargitai László","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Fejér","Bicskei","5071",1447,"607",0,NA,NA
"40","Aldebrő",NA,NA,"Farkas László Márton","Független","község","Heves","Füzesabonyi","2178",666,"354",0,"HH",1
"41","Algyő",NA,NA,"Piri József","Független","nagyközség","Csongrád","Szegedi","7577",5204,"2032",0,NA,NA
"42","Alibánfa","Cziráki Imre","Független","Németh László","Független","község","Zala","Zalaegerszegi","584",465,"165",0,NA,NA
"43","Almamellék","Szilágyiné Kadiró Erika Mária","Fidesz - Magyar Polgári Szövetség","Szilágyiné Kadiró Erika Mária","Független","község","Baranya","Szigetvári","4433",437,"165",1,"LHHK",1
"44","Almásfüzitő",NA,NA,NA,NA,"község","Komárom-Esztergom","Komáromi","819",2250,"1147",0,NA,NA
"45","Almásháza","Németh Attila","Független","Németh Attila","Független","község","Zala","Zalaszentgróti","498",66,"24",0,"HH",1
"46","Almáskamarás","Mazán Attila","Független","Sipos László","Független","község","Békés","Mezőkovácsházai","1475",831,"465",0,"LHHK",1
"47","Almáskeresztúr","Kuba Károly Antal","Független","Pásztó József Sándor","Független","község","Baranya","Szigetvári","1303",91,"54",0,"LHHK",1
"48","Álmosd","Köteles István","Független","Farkas Pál","Független","község","Hajdú-Bihar","Derecske-Létavértesi","3413",1550,"731",1,"LHH",1
"49","Alsóberecki","Zuti Lajos","Független","Zuti Lajos","Független","község","Borsod-Abaúj-Zemplén","Bodrogközi","686",735,"288",0,"LHHK",1
"50","Alsóbogát","Süle Tibor","Független","Süle Tibor","Független","község","Somogy","Kaposvári","1201",259,"96",0,"HH",1
"51","Alsódobsza","Bűdi Károly","Független","Bűdi Károly","ZEMPLÉNI TELEPÜLÉSSZÖVETSÉG","község","Borsod-Abaúj-Zemplén","Szerencsi","1068",316,"164",0,"LHHK",1
"52","Alsógagy","Takács László","MAGYAR SZOCIALISTA PÁRT","Takács László","MAGYAR SZOCIALISTA PÁRT","község","Borsod-Abaúj-Zemplén","Encsi","628",96,"56",0,"LHHK",1
"53","Alsómocsolád","Dicső László","Független","Dicső László","Független","község","Baranya","Sásdi","1300",337,"140",1,"LHHK",1
"54","Alsónána","Kis Istvánné Csele Julianna","Kereszténydemokrata Néppárt","Czifra Ferenc","Független","község","Tolna","Szekszárdi","1314",687,"280",0,NA,NA
"55","Alsónémedi","Vincze József","Fidesz - Magyar Polgári Szövetség","György Balázs","Független","nagyközség","Pest","Gyáli","4907",5186,"2075",0,NA,NA
"56","Alsónemesapáti","Balaton Józsefné","Független","Balaton Józsefné","Független","község","Zala","Zalaegerszegi","1451",721,"289",1,NA,NA
"57","Alsónyék","Dózsa-Pál Tibor","Fidesz - Magyar Polgári Szövetség","Dózsa-Pál Tibor","Független","község","Tolna","Szekszárdi","3204",754,"307",0,NA,NA
"58","Alsóörs","Hebling Zsolt","Független","Hebling Zsolt","Független","község","Veszprém","Balatonalmádi","3334",1401,"683",0,NA,NA
"59","Alsópáhok","Czigány Sándor","Független","Czigány Sándor","Független","község","Zala","Hévízi","1802",1315,"599",0,NA,NA
"60","Alsópetény","Laluja Imre","Független","Laluja Imre","Független","község","Nógrád","Rétsági","1968",703,"315",1,"HH",2
"61","Alsórajk","Csiszár László Endre","Független","Kovács András","Független","község","Zala","Pacsai","845",354,"175",0,"HH",1
"62","Alsóregmec","Laczkó Pál","Független","Laczkó Pál","Független","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","1539",190,"92",0,"HH",1
"63","Alsószenterzsébet","Horváth László","Független","Horváth László","Független","község","Zala","Lenti","963",72,"40",0,NA,NA
"64","Alsószentiván","Nagy Lajos","Független","Nagy Lajos","Független","község","Fejér","Sárbogárdi","3965",614,"289",0,"HH",1
"65","Alsószentmárton","Vas Péter","Fidesz - Magyar Polgári Szövetség","Vas Péter","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Baranya","Siklósi","1361",1186,"311",1,"HH",1
"66","Alsószölnök","Monek Zsolt","Független","Monek Zsolt","Független","község","Vas","Szentgotthárdi","1002",373,"171",0,NA,NA
"67","Alsószuha","Hevesi István","Független","Hevesi István","Független","község","Borsod-Abaúj-Zemplén","Kazincbarcikai","2242",467,"187",1,"HH",1
"68","Alsótelekes","Bodnár Tibor","Független","Bodnár Tibor","Független","község","Borsod-Abaúj-Zemplén","Kazincbarcikai","644",145,"93",0,"HH",1
"69","Alsótold","Klátyik András","Független","Klátyik András","Független","község","Nógrád","Pásztói","786",244,"109",0,"HH",1
"70","Alsóújlak","Németh Tibor","Független","Velladics László","Független","község","Vas","Vasvári","2102",572,"308",0,"HH",1
"71","Alsóvadász","Kiss Lászlóné","Független","Kiss Lászlóné","Független","község","Borsod-Abaúj-Zemplén","Szikszói","2290",1552,"454",0,"LHHK",1
"72","Alsózsolca","Zsiros Sándorné","Független","Zsiros Sándorné","Független","város","Borsod-Abaúj-Zemplén","Miskolci","2602",5977,"1846",1,NA,NA
"73","Ambrózfalva","Mitykó Mátyás Márton","Független","Tuska György","Független","község","Csongrád","Makói","1122",488,"247",0,"HH",1
"74","Anarcs","Kalinák József János","Független","Kalinák József János","Független","község","Szabolcs-Szatmár-Bereg","Kisvárdai","1706",1934,"682",1,"HH",1
"75","Andocs","Törőcsik Ferencné","Független","Törőcsik Ferencné","Független","község","Somogy","Tabi","4327",1089,"477",0,"LHH",1
"76","Andornaktálya","Vámosi László","Fidesz - Magyar Polgári Szövetség","Daru Sándor","Független","község","Heves","Egri","1675",2741,"1030",0,NA,NA
"77","Andrásfa","Korán Tibor","Független","Korán Tibor Miklós","Független","község","Vas","Vasvári","823",268,"146",0,"HH",1
"78","Annavölgy",NA,NA,NA,NA,"község","Komárom-Esztergom","Dorogi","460",933,"402",0,NA,NA
"79","Apácatorna","Kovács Béla","Független","Kovács Béla","Független","község","Veszprém","Devecseri","729",151,"85",0,"HH",3
"80","Apagy","Kiss István","Független","Kiss István","Független","község","Szabolcs-Szatmár-Bereg","Baktalórántházai","3204",2191,"873",0,"LHHK",1
"81","Apaj","Novák Pál","Független","Novák Pál","Független","község","Pest","Ráckevei","7104",1228,"441",0,NA,NA
"82","Aparhant","Kenderesiné Szücs Ibolya","Független","Szücs György","Független","község","Tolna","Bonyhádi","1796",1026,"385",0,NA,NA
"83","Apátfalva","Varga Péter","MAGYAR SZOCIALISTA PÁRT","Varga Péter","MAGYAR SZOCIALISTA PÁRT","község","Csongrád","Makói","5378",2998,"1599",1,"HH",1
"84","Apátistvánfalva","Erdei Lászlóné","Független","Fodor Sándor","Független","község","Vas","Szentgotthárdi","1286",356,"165",0,NA,NA
"85","Apátvarasd","Bodorkás István","Független","Bodorkás István","Független","község","Baranya","Pécsváradi","814",127,"42",0,"HH",1
"86","Apc","Bulcsu Elemér József","Fidesz - Magyar Polgári Szövetség","Gémes Gábor","Független","község","Heves","Hatvani","2046",2593,"1106",0,NA,NA
"87","Áporka","Kovács Tibor Miklós","Független","Füzesi István","Független","község","Pest","Ráckevei","1747",1171,"487",0,NA,NA
"88","Apostag","Zakar Zoltán János","Független","Zakar Zoltán János","Független","község","Bács-Kiskun","Kunszentmiklósi","3194",1956,"975",0,"HH",1
"89","Aranyosapáti","Sándorné Kozma Erika","Független","Kozma Erika","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","2111",1988,"711",1,"LHHK",1
"90","Aranyosgadány",NA,NA,"Csurgyók Lajosné","Független","község","Baranya","Pécsi","826",326,"136",1,NA,NA
"91","Arka",NA,NA,"Varanai László","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","953",90,"67",0,"LHHK",1
"92","Arló","Zsigray Árpád","Független","Zsigray Árpád","Független","nagyközség","Borsod-Abaúj-Zemplén","Ózdi","4687",3656,"1171",1,"LHHK",1
"93","Arnót","Üveges István","Független","Kolenkó Gábor","Független","község","Borsod-Abaúj-Zemplén","Miskolci","1754",2583,"809",1,NA,NA
"94","Ároktő","Vargáné Kerékgyártó Ildikó Anna","Független","Vargáné Kerékgyártó Ildikó Anna","MAGYAR SZOCIALISTA PÁRT","község","Borsod-Abaúj-Zemplén","Mezőcsáti","4641",1073,"529",1,"LHHK",1
"95","Árpádhalom","Szarka Attila","Fidesz - Magyar Polgári Szövetség","Froman Róbert","Független","község","Csongrád","Szentesi","4520",489,"259",0,"HH",1
"96","Árpás","Szabó András","Független","Szabó András","Független","község","Győr-Moson-Sopron","Téti","1427",242,"129",0,"HH",2
"97","Ártánd","Benkő Sándor","Független","Benkő Sándor","Független","község","Hajdú-Bihar","Berettyóújfalui","1982",510,"241",0,"LHHK",1
"98","Ásotthalom","Petró Ferenc","Fidesz - Magyar Polgári Szövetség","Petró Ferenc","Független","község","Csongrád","Mórahalomi","12254",4023,"2001",0,"LHH",1
"99","Ásványráró","Tatainé Popp Rita","Független","Böősy Imre Lőrinc","Független","község","Győr-Moson-Sopron","Mosonmagyaróvári","3916",1871,"818",0,NA,NA
